tweet_id,text,ideal_intent,ideal_escalate,ideal_escalate_reason,brand_reply
523862,"@AppleSupport I am contacting you from Kuwait.My dead iPhone was acting like mad 😡, calling and moving among among apps like https://t.co/7NFocWYnWj doesn't have an office im kuwait.I tried to fix it at your agent but useless.Can I replace it and pay ...thanks for your care",bug_feature,False,Can be auto-handled with standard troubleshooting steps.,"@241087 No worries at all. Can you let us know the iOS version you have installed? Also, did you try restarting the iPhone? Send us a DM. https://t.co/GDrqU2kzhr"
1188225,@AppleSupport Since updating to iOS 11 I’m not receiving text alerts on my watch now yet I receive them for WhatsApp &amp; calls 😤,ios_update,False,Can be auto-handled with standard troubleshooting steps.,"@399425 We have a few questions. Which type of iPhone and version of iOS 11 are you using? Also, which Watch and watchOS are you using?"
689398,@115858 get your coding team together to fix this shitty update so my phone can stop freezing and glitching,ios_update,True,Customer expresses high frustration.,@284740 We can help. What iOS version are you currently using?
1482399,Interesting how the jack in my iPhone wont pick up that my headphones are plugged in right when the iPhone X came out. Love/hate you @115858,battery_power,False,Can be auto-handled with standard troubleshooting steps.,"@464207 We're happy to help. Which iPhone and iOS version do you have? Also, do any other headphones work with your iPhone?"
2850868,@115858 how do you get a notification to disappear without a home button on the iPhone X? Nobody at Cardiff Apple store knew!!!!! #coulddoitonthe6plus,hardware_purchase,True,Requires store appointment or checking order status.,"@792698 Thanks for reaching out. We're happy to help. To clear notifications on your iPhone X, follow the steps as outlined here: https://t.co/2txgOv5s2M Let us know if you have any other questions. We're here for you."
1550280,@AppleSupport  FIX THIS I️ nonsense I’m tired of correcting I️ OKAY?,bug_feature,False,Can be auto-handled with standard troubleshooting steps.,"@479825 We're here to help you. Try out the steps in this article: https://t.co/xU1AGHStV6
Questions? DM us. https://t.co/GDrqU22YpT"
1833613,@AppleSupport whatever the latest update of iOS did it needs to be fixed Ive had to charge my phone 3x in 1 day with same usuage as usual,ios_update,False,Can be auto-handled with standard troubleshooting steps.,@550043 We'd like to help! Send us a DM with the country that you are located in and we will continue from there. https://t.co/GDrqU22YpT
1586345,Why isn’t it blurry? Don’t you really see this @115858 @AppleSupport? https://t.co/Z61LIP7NC8,bug_feature,False,Can be auto-handled with standard troubleshooting steps.,@309456 Hi. We're here to help. Have you tried restarting with these steps: https://t.co/OWRDHWSt4h Let us know if this helps.
1703011,Uhm.... the “I️” is still not working on a lot of apps.... @AppleSupport,bug_feature,False,Can be auto-handled with standard troubleshooting steps.,@304002 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ
1886343,thanks @115858.. my phone battery sucks ever since the new update 🚮,ios_update,False,Can be auto-handled with standard troubleshooting steps.,"@562608 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running, and we'll go from there. https://t.co/GDrqU22YpT"
2549076,@AppleSupport Is this email true? https://t.co/uqA0zO9nXF,bug_feature,False,Can be auto-handled with standard troubleshooting steps.,@724287 That does not look to be from us and we ask you to report this email using the following link: https://t.co/sayPykspsk
1329304,@AppleSupport @115858 oh hey it's still loading God knows what. https://t.co/xCMy3Q0vmy,bug_feature,False,Can be auto-handled with standard troubleshooting steps.,@430158 That's not expected. We'll make things right. What happened before this screen? Did you set up as new or restore a backup?
1477508,@AppleSupport It’s even worse during a workout mode when I need access to my stopwatch immediately. Big fail on your part.,bug_feature,False,Can be auto-handled with standard troubleshooting steps.,@463065 We want your Apple Watch to work seamlessly with watchOS 4. Have you had the chance to update to watchOS 4.0.1?
